provider,job_id,qpu_seconds,qpu_time_source,n,observable,expectation_value,std,ideal,absolute_error
IBM TREX + twirling,d8u0i0lposuc738pdsv0,19.319136347,usage_estimation.quantum_seconds,140,ZZ_probe,0.36812381507473624,0.004408249874424206,0.49792324720472625,0.12979943212999
Q-CTRL,7cd1ceca-76ec-4a85-b07a-28d7be62b11f,,unavailable,140,MZ_probe,-0.03745,0.3501668316674211,1.9014910186610362e-13,0.037450000000190144
Q-CTRL,7cd1ceca-76ec-4a85-b07a-28d7be62b11f,,unavailable,140,MX_probe,0.6265250000000001,0.27062320784625993,0.6976613207567716,0.07113632075677145
Q-CTRL,7cd1ceca-76ec-4a85-b07a-28d7be62b11f,,unavailable,140,ZZ_probe,0.28102499999999997,0.32938180638128756,0.49792324720472625,0.21689824720472628
IBM raw,d8u3t5stqbtc73d17b0g,12.635971359,usage_estimation.quantum_seconds,150,MZ_probe,0.0387,0.0035152005277081988,1.3255051706305692e-13,0.038699999999867445
IBM raw,d8u3t5stqbtc73d17b0g,12.635971359,usage_estimation.quantum_seconds,150,MX_probe,0.511725,0.0029361380991874343,0.697661320745697,0.185936320745697
IBM raw,d8u3t5stqbtc73d17b0g,12.635971359,usage_estimation.quantum_seconds,150,ZZ_probe,0.34435,0.0032801150703900615,0.49792324720472375,0.15357324720472376
IBM TREX + twirling,d8u56t4tqbtc73d196m0,19.327713569,usage_estimation.quantum_seconds,150,MZ_probe,-0.00422908362333766,0.010182358239285084,1.3255051706305692e-13,0.00422908362347021
IBM TREX + twirling,d8u56t4tqbtc73d196m0,19.327713569,usage_estimation.quantum_seconds,150,MX_probe,0.3885391026209041,0.010319858417563063,0.697661320745697,0.3091222181247929
IBM TREX + twirling,d8u56t4tqbtc73d196m0,19.327713569,usage_estimation.quantum_seconds,150,ZZ_probe,0.2693889968740327,0.005370547528830048,0.49792324720472375,0.22853425033069102
Q-CTRL,6bda7873-b35f-474c-a9e2-be3fef82c862,,unavailable,150,MZ_probe,-0.022699999999999998,0.35294044469286884,1.3255051706305692e-13,0.022700000000132548
Q-CTRL,6bda7873-b35f-474c-a9e2-be3fef82c862,,unavailable,150,MX_probe,0.6505000000000001,0.26630794439896077,0.697661320745697,0.0471613207456969
Q-CTRL,6bda7873-b35f-474c-a9e2-be3fef82c862,,unavailable,150,ZZ_probe,0.46497499999999997,0.3127661436680767,0.49792324720472375,0.03294824720472378
